,
helena
sorrow
bardolph
field
yea
ask
kent
free
given
remember
further
patience
maid
air
highness
comfort
known
pass
arm
pandarus
money
years
because
serve
pistol
neither
need
friar
citizen
portia
grave
wind
ah
didst
something
hard
country
praise
foot
side
mercy
women
pleasure
claudio
bolingbroke
cressida
hate
bound
sons
anne
captain
cut
certain
trust
sick
warrant
hell
parolles
hearts
goes
knave
black
sake
doubt
command
princess
thanks
either
canst
truly
em
talbot
weep
ii
rich
fault
merry
heavy
host
next
enemy
ephesus
achilles
english
demetrius
imogen
lov
sad
ground
knew
took
wise
touch
orlando
cardinal
behold
haste
rom
twenty
fit
open
almost
worse
twas
olivia
brave
palace
themselves
n
base
sin
isabella
content
coming
voice
course
drink
ears
ten
having
change
question
valiant
romeo
stands
revenge
earl
pedro
sovereign
common
strike
enobarbus
fie
unless
straight
julia
four
note
person
married
methinks
duty
door
northumberland
past
deed
fal
deep
oft
appear
leontes
tender
lead
water
hastings
emilia
report
already
spoke
sirrah
hark
point
above
needs
en
oath
somerset
white
confess
lest
salisbury
gives
ladies
suit
mouth
iii
prospero
sing
soon
heavens
want
eat
yield
ready
marcius
become
withal
london
viola
hours
wherefore
walk
city
attendants
deliver
liege
presently
duchess
pay
fast
grow
five
just
sebastian
pluck
moon
bold
clifford
tranio
flesh
paris
marcus
sicinius
deny
favour
flourish
lips
fare
met
bertram
knight
pale
wars
counsel
signior
bene
traitor
lucio
march
dream
sworn
caius
apemantus
count
wherein
woe
morning
slave
silvia
letters
bosom
wouldst
fell
lucentio
norfolk
guard
got
saint
de
posthumus
malvolio
witness
anon
spirits
office
speech
speaks
ajax
town
slain
banish
bassanio
charles
bad
chamber
shepherd
celia
camillo
write
glad
sense
hero
thersites
claud
often
strength
soft
lordship
fetch
roman
armado
widow
children
sport
twere
conscience
plain
living
rage
wonder
mock
whole
countess
iv
cymbeline
behind
learn
costard
leon
lion
lack
excellent
attend
marriage
bless
e
elizabeth
loving
loss
deeds
hair
lafeu
baptista
glou
hortensio
form
kings
pretty
simple
vile
battle
hamlet
bianca
jul
action
seems
provost
hundred
whilst
win
ourselves
harry
maria
green
souls
ulysses
dull
doctor
begin
laugh
tale
dauphin
longer
fashion
silence
along
hostess
emperor
case
parts
grant
issue
pride
enemies
quick
entreat
drum
slender
katherina
hide
servants
cap
heads
mighty
noise
cloten
macduff
shylock
heir
going
takes
besides
fortunes
hor
katharine
feel
chief
passion
scorn
promise
weak
woo
offer
kate
book
bears
force
suffer
castle
evans
roderigo
paper
low
presence
short
throw
bottom
subject
choose
worst
anything
close
masters
chance
died
teach
judgment
fools
worship
jest
charmian
cominius
pisanio
hermia
dies
toward
princes
shows
health
officer
poins
lysander
shake
went
kingdom
honourable
awhile
troth
moth
least
year
small
gainst
respect
cross
hadst
feast
cast
adieu
gates
buy
valour
danger
wolsey
boyet
writ
curse
dangerous
agamemnon
gratiano
v
faults
match
edg
receive
mortal
kept
breast
move
herself
understand
harm
quarrel
escalus
exeter
cade
wisdom
virtuous
whether
won
vow
foolish
army
aufidius
aaron
seal
beard
wert
fine
offence
fill
laid
beg
ta
tent
iachimo
hubert
grumio
stop
forget
measure
brain
poison
dinner
labour
murderer
among
consent
hearing
plague
taken
angry
ass
order
witch
westmoreland
rosaline
try
lend
troy
stood
ariel
aguecheek
calls
perceive
sorry
prison
dispatch
treason
thither
r
judge
gremio
golden
sings
brief
title
wild
pains
jack
adriana
senator
fresh
drawn
alive
thence
fearful
commend
double
humour
hurt
forward
colour
patient
grey
reads
piece
trumpet
stephano
tamora
summer
burn
forgot
fled
carry
join
fluellen
officers
glory
drown
ours
whither
jaques
purse
alarum
jove
touchstone
corn
lewis
song
shape
birth
broke
honesty
constable
boys
diomedes
moor
percy
quite
clock
greater
thrice
coward
ghost
trumpets
pol
venice
paulina
held
walls
blind
helen
prayers
blow
damn
wine
train
steal
amen
obey
opinion
wounds
brook
polixenes
feed
making
prisoner
borne
blame
dark
knock
street
monster
aeneas
juliet
holds
view
tear
whereof
proof
stir
citizens
safe
belarius
launcelot
launce
shadow
motion
cheer
falls
manner
vain
rogue
tower
lancaster
lorenzo
folly
taste
wast
peter
pucelle
although
blessed
cheek
wits
rise
several
camp
ancient
sudden
whiles
brothers
wall
burgundy
edm
excuse
weary
knowledge
precious
alack
awake
desires
lieutenant
la
princely
jew
due
grows
sometime
quiet
trouble
fears
beggar
liv
smile
approach
greatness
plantagenet
keeps
cunning
bones
aught
until
tongues
struck
drop
catch
endure
affection
fellows
serv
wash
dumain
murder
guiderius
wales
whence
doing
goodly
terms
perform
round
thomas
banquo
lavinia
autolycus
lo
forbid
forgive
room
twixt
bitter
neck
bond
safety
yonder
occasion
arthur
fabian
brow
winter
shouldst
rude
bearing
wound
foes
wrongs
liberty
beast
owe
yourselves
scarce
heels
archbishop
montague
casca
reg
biondello
patroclus
effect
bright
cruel
leaves
twice
rough
wealth
manners
large
advantage
proceed
humble
creature
dance
kneel
priest
malice
christian
post
gaunt
fat
athens
seven
orleans
edmund
george
ross
catesby
caliban
thurio
stars
thunder
sharp
cheeks
wretched
guilty
hail
blows
forest
humphrey
philip
richmond
aumerle
swift
melancholy
towards
steel
fame
drunk
gentlewoman
choice
meat
legs
led
lepidus
dry
silver
sort
spent
oaths
diana
honours
pleas
swords
possess
cried
theseus
benedick
rose
glass
spend
mayst
blunt
flow
thief
follows
affairs
pure
bow
madness
loud
ways
nose
embrace
volumnia
chamberlain
nestor
ben
gonzalo
request
bestow
heat
rain
stain
argument
pain
stone
idle
story
vows
wood
fiend
courage
fail
throne
chain
merchant
tribunes
katherine
paid
depart
private
gift
remain
clear
finger
fury
becomes
fought
quoth
knee
fain
defend
church
mowbray
winchester
nerissa
prepare
secret
lover
few
food
easy
deserve
courtesy
proper
pow
study
mortimer
tybalt
miranda
saturninus
poet
breathe
gate
reasons
wicked
monstrous
colours
eros
abroad
stuff
niece
claim
keeper
lucetta
*
foe
remembrance
evil
bare
cries
leisure
gain
former
forsworn
always
twill
arviragus
nym
leonato
hermione
spring
seeming
wait
horses
sooner
tune
six
wench
wives
doors
supper
laer
flavius
holofernes
mer
trinculo
list
receiv
sigh
lovers
grown
lawful
nine
sometimes
stones
instant
broken
wanton
spare
humbly
proclaim
rascal
tree
alcibiades
herald
offend
tyrant
top
table
jewel
stol
ry
anger
subjects
mend
giving
beyond
discourse
asleep
trial
demand
ned
le
crowns
meaning
weeping
mayor
longaville
malcolm
pyramus
florizel
single
sits
wide
clouds
dust
storm
repent
ransom
spite
seat
wretch
thinks
remedy
able
mar
weigh
powers
shut
dreadful
ones
condition
ship
rs
senators
hit
murther
elbow
stanley
jessica
andronicus
memory
fond
consider
nought
forbear
flies
aid
cupid
neighbour
traitors
warlike
mere
spoken
possible
natural
feet
fairy
rivers
sack
oph
alb
public
rare
buried
ride
bids
shore
betray
fancy
horns
happiness
wrath
agrippa
oliver
sheep
luciana
beatrice
particular
sum
thrive
teeth
therein
delight
dearest
betwixt
blush
rank
gross
countenance
griefs
cure
minds
goodness
hopes
saying
daughters
oxford
protector
number
freely
womb
heavenly
quality
doom
counterfeit
perfect
turns
begins
absence
entertain
slow
knife
authority
envy
voices
denied
angel
undone
wings
gallant
romans
visit
reverend
charity
puck
quince
below
tomb
intend
flatter
enjoy
thrust
blest
despair
sickness
plot
ease
lands
pound
sign
thisby
treasure
lovely
meant
painted
faces
puts
brings
seeing
guess
slander
vice
heed
drops
maintain
trick
encounter
promis
protest
flight
deal
menas
meeting
ducats
britain
realm
gower
ferdinand
gon
following
despite
skill
frown
naked
vouchsafe
kindness
hers
wake
tidings
innocent
mirth
tide
followers
obedience
vengeance
chiron
party
warm
burning
merit
civil
greatest
durst
smell
sail
y
credit
sleeping
shed
gown
bought
dar
fourth
tailor
council
francis
swore
deadly
throat
empty
girl
knees
north
doll
convey
breed
maiden
outward
early
beaten
sighs
jealous
taught
flower
devise
seest
learned
appears
assure
desperate
rule
modesty
search
intent
window
suddenly
dishonour
streets
loose
surrey
alencon
alonso
don
chide
constant
winds
star
disgrace
fiery
main
bark
divine
bred
lust
ends
virtues
stranger
salt
estate
shot
dogs
perchance
kinsman
fish
spake
egypt
names
dread
employ
hollow
tonight
bedford
reignier
vincentio
cost
allow
graces
speaking
plead
triumph
reign
ruin
thinking
garments
burden
wont
gifts
cup
dying
mariana
forsooth
success
commission
conduct
condemn
ignorant
prick
hereafter
draws
thieves
whore
satisfied
challenge
crack
execution
bishop
constance
salerio
reputation
express
abuse
sacred
sounds
strikes
cease
limbs
loved
prize
contrary
knowing
blessing
lean
big
perforce
steward
season
ambition
contempt
parted
lock
octavius
victory
mov
raise
garden
phebe
villains
flood
degree
horatio
laertes
messala
3
repair
image
frame
fairly
flowers
account
dreams
honey
faint
bird
render
sides
press
sees
kisses
aim
hie
dares
quit
temper
twelve
shortly
iron
ros
davy
fenton
brabantio
ratcliff
painter
haply
hid
shine
mars
brains
sway
line
perhaps
equal
policy
brows
fathers
priam
taking
attended
cur
tedious
bend
tarry
undertake
behalf
octavia
smooth
custom
empress
liest
according
porter
damned
hal
oberon
capulet
bassianus
month
waste
fore
fate
west
desert
weight
root
weeds
unknown
bind
runs
stomach
ladyship
knaves
offended
bade
horn
yond
disposition
pinch
dagger
sooth
sleeps
silvius
sore
maids
prevail
bodies
reverence
smiles
fac
fatal
forces
prisoners
tempest
robert
cromwell
lodovico
midnight
discover
attending
numbers
wrought
elder
dumb
farther
pour
picture
greet
ripe
fingers
courtier
advice
native
friendship
methought
peril
tread
utter
soothsayer
iras
govern
odds
capitol
device
regard
slaughter
gent
honor
fairest
hill
bounty
tells
conceit
cover
sorrows
woes
deserv
dearly
edge
crave
firm
bell
debt
finds
revolt
alike
bury
seas
everything
belike
ning
sirs
adam
weapons
senate
apt
mischief
sly
hugh
perdita
also
dwell
substance
barren
sky
hanging
looking
glorious
prey
solemn
tied
figure
sold
fits
east
monsieur
practice
hazard
afraid
displeasure
favours
violent
deceiv
drums
pair
gaoler
dew
staff
armour
moe
belly
countrymen
lartius
nobles
fairies
murtherer
douglas
canterbury
pembroke
lovell
milan
padua
titania
willing
rous
store
pen
complexion
fierce
acquainted
apparel
grieve
mountain
commit
ignorance
wing
vantage
affections
wounded
followed
mistake
commanded
blown
inform
rate
chair
thick
garter
wants
clothes
roar
surely
purposes
confirm
villainy
henceforth
sends
stroke
bite
isle
apart
devils
whoreson
banishment
cave
prologue
cinna
duncan
books
laws
beauteous
car
eternal
object
sell
babe
darkness
benefit
add
remains
profit
thereof
snow
disdain
habit
chaste
furnish
advise
wears
impossible
worn
deer
sentence
places
misery
wreck
hardly
pieces
cat
unhappy
dolabella
sweat
stoop
eight
hateful
charm
school
cock
bawd
cell
windsor
varro
arise
creatures
fairer
hearted
length
stronger
rotten
twain
nights
special
appetite
suspect
deserves
bent
esteem
afterwards
compass
accuse
except
virgin
minute
months
rock
cressid
modest
minister
infinite
delay
pick
slew
prayer
trade
punish
retire
avoid
worm
robin
earnest
unnatural
pause
virgilia
tut
hereford
peers
osw
athenian
entertainment
otherwise
feeble
defence
stage
abide
sought
morn
amiss
bar
guest
groan
tame
monument
slept
familiar
dignity
fruit
difference
lip
stays
necessity
companion
hangs
amongst
leg
assur
attendant
threat
angels
ambitious
instrument
nobility
whip
heartily
rail
scape
dish
calm
banished
senior
marks
gall
park
mess
titinius
edgar
nathaniel
bora
verona
fee
lusty
pitch
silent
sins
sour
acquaintance
tall
mouths
lamb
felt
committed
groans
senses
dramatis
personae
language
bravely
fox
unworthy
cares
bride
standing
nobly
friendly
hercules
glove
jupiter
dst
bleed
diomed
slaves
basket
coz
suck
hat
goths
passing
scotland
rob
withdraw
handkerchief
nephew
polonius
wor
cranmer
pedant
montano
check
written
breach
huge
height
knit
confound
jealousy
dress
willingly
birds
saucy
wolf
pleasures
pleasant
partly
tyranny
marvel
cool
passage
began
cuckold
italy
reward
serves
whisper
kindly
recover
pocket
sink
pawn
befall
drew
plays
frederick
corin
envious
players
troyan
lucilius
lennox
reading
directly
perish
rhyme
lines
beside
boast
travel
visage
absent
messengers
league
falsehood
services
grew
wondrous
urge
feeling
score
savage
chase
crying
wither
miss
observe
start
attempt
kin
enforce
wedding
rash
drive
direct
chang
moved
alexas
beasts
alexander
odd
armed
reveng
miserable
appointed
usurp
rememb
weather
hunt
tremble
circumstance
hall
ran
dick
strain
island
gardiner
bohemia
fifty
audience
possession
physic
freedom
spur
grecian
spoil
task
vex
strive
pomp
gait
fed
stretch
wed
younger
resolv
skin
pursue
carried
guarded
weeps
mile
dozen
satisfaction
loath
market
step
mount
renowned
faithful
greek
humours
parley
bleeding
commons
yoke
exchange
et
knocking
marshal
outlaw
zeal
isabel
naples
menelaus
rugby
provide
4
leads
stick
moment
verse
earthly
toil
roses
slight
torment
wink
pace
tend
signs
crow
mourn
strife
learning
graves
stamp
example
stern
knights
smiling
bore
beshrew
boot
wishes
continue
serpent
pate
profess
sceptre
vessel
rebellion
tricks
conference
pack
discretion
shoulders
confusion
audrey
orchard
wisely
suits
coat
subtle
fright
goose
sixth
wholesome
fifth
consul
publius
cursed
cor
rebels
vernon
suspicion
williams
dorset
goneril
regan
derby
antigonus
notice
conquest
beloved
trees
youthful
theirs
muse
persuade
remove
points
torture
daily
growing
leap
banquet
key
siege
shown
offices
privilege
redeem
shapes
error
pitiful
gently
rid
refuse
lately
higher
lent
stream
fields
enterprise
county
band
milk
nice
thrown
seize
belov
tempt
wot
message
troubled
expect
joyful
discharge
ireland
dismiss
singing
loyal
secure
mass
scroop
item
cordelia
gar
corrupt
forty
serving
whereon
kissing
invention
injury
suppose
soil
delivered
advance
term
shook
wills
hairs
bay
disease
lying
famous
unfold
running
wax
rescue
forswear
ended
breeding
tom
hole
m
commands
prepar
troops
caught
granted
meantime
price
nation
afeard
absolute
newly
invisible
beats
falling
curs
pronounce
ago
kindred
giddy
shoulder
calf
dam
terror
curses
stock
accept
corse
steps
guildenstern
ophelia
weapon
grandam
alice
pandulph
jaquenetta
gobbo
conditions
week
fix
addition
murd
harsh
shines
strongly
journey
scope
contented
interest
alter
space
kills
seldom
ocean
ink
telling
petty
lays
forfeit
shoot
hated
dote
beware
amaz
quench
cam
laughter
troop
quarter
borrow
breaking
thirty
sat
needful
knot
con
happily
delicate
destroy
abus
drinking
vi
liberal
assurance
cowards
dame
begun
resolution
purchase
rouse
temple
breaks
mild
towns
advis
rapier
redress
musicians
greeks
fares
guil
ely
je
andrew
curtis
box
contract
received
increase
deceive
herein
sets
inward
ceremony
cloak
guilt
shadows
yellow
praises
phrase
clerk
walks
goddess
drinks
lesser
defy
rousillon
commonwealth
peevish
liking
foreign
token
waters
venture
ent
parting
reach
strumpet
easily
obedient
ev
hears
preparation
par
undo
conquer
merely
burst
nails
maecenas
ambassador
palm
mettle
theme
pierce
aboard
wept
cyprus
beheld
boar
torch
conclusion
kneels
destruction
sisters
remorse
resolve
spit
censure
beholding
spleen
conjure
conclude
rul
houses
supply
lad
worcester
hotspur
welsh
stafford
sicilia
elinor
thane
solanio
bushy
value
matters
michael
couldst
gaze
sweetly
hap
shade
hue
recompense
cloud
mightst
approve
distance
divide
closet
share
jewels
strangely
extremity
contents
veins
arrest
behaviour
writes
intelligence
bosoms
sue
busy
woeful
threw
physician
likes
effects
prov
aloud
rush
satisfy
scurvy
terrible
eldest
rend
apace
keeping
retreat
exceeding
burns
afternoon
melt
stale
eagle
conceive
spurn
throats
captains
proportion
forc
oak
south
bottle
bush
sitting
touching
ope
husbands
instruments
butcher
lights
grandsire
joys
oracle
vous
joan
spy
instance
royalty
thereby
decay
cherish
luck
touches
fleet
whate
spread
aspect
deaf
pearl
sole
nimble
hungry
miracle
society
pays
owes
waking
weakness
prevent
kingly
creep
fearing
unkind
swears
slay
imagination
metal
austria
asham
bidding
senseless
tooth
swell
shift
boots
natures
event
shrewd
gather
renown
stocks
prais
justly
feather
opposite
begg
manhood
allegiance
desir
lightning
charg
turning
sting
begot
treacherous
working
urg
stubborn
climb
aegeon
likewise
killing
grievous
corioli
choler
apparent
knocks
denmark
rosencrantz
aunt
overdone
walter
glendower
curst
rutland
decius
apollo
froth
barnardine
hippolyta
marg
mercutio
c
flame
leaving
wail
forsake
perfection
compare
hung
ugly
sweetest
evermore
trifle
repose
kingdoms
immortal
rightly
beams
whereto
level
beds
wooing
